Cosine Similarity: 0.5894, Euclidean Distance: 8.5234
Cosine Similarity: 0.8643, Euclidean Distance: 5.5508
Cosine Similarity: 0.8569, Euclidean Distance: 5.4727
Cosine Similarity: 0.5835, Euclidean Distance: 8.6406
Cosine Similarity: 0.5664, Euclidean Distance: 9.2422
Cosine Similarity: 0.5898, Euclidean Distance: 8.5156
Cosine Similarity: 0.8325, Euclidean Distance: 5.9102
Cosine Similarity: 0.6846, Euclidean Distance: 7.8203
Cosine Similarity: 0.5615, Euclidean Distance: 8.7891
Cosine Similarity: 0.6040, Euclidean Distance: 8.3984
Cosine Similarity: 0.5269, Euclidean Distance: 9.9922
Cosine Similarity: 0.5688, Euclidean Distance: 8.6797
Cosine Similarity: 0.5884, Euclidean Distance: 8.5391
Cosine Similarity: 0.6533, Euclidean Distance: 7.9727
Cosine Similarity: 0.7383, Euclidean Distance: 7.1680
Cosine Similarity: 0.6196, Euclidean Distance: 10.0859
Cosine Similarity: 0.6626, Euclidean Distance: 7.9141
Cosine Similarity: 0.5586, Euclidean Distance: 8.7422
Cosine Similarity: 0.5630, Euclidean Distance: 8.7344
Cosine Similarity: 0.8394, Euclidean Distance: 5.7656
Cosine Similarity: 0.5630, Euclidean Distance: 8.8281
Cosine Similarity: 0.8672, Euclidean Distance: 5.4844
Cosine Similarity: 0.8350, Euclidean Distance: 7.3086
Cosine Similarity: 0.7446, Euclidean Distance: 7.0508
Cosine Similarity: 0.6211, Euclidean Distance: 8.2578
Cosine Similarity: 0.6841, Euclidean Distance: 7.6875
Cosine Similarity: 0.6631, Euclidean Distance: 7.9141
Cosine Similarity: 0.6631, Euclidean Distance: 7.9141
Cosine Similarity: 0.6621, Euclidean Distance: 7.9727
Cosine Similarity: 0.5693, Euclidean Distance: 8.6719
Cosine Similarity: 0.5703, Euclidean Distance: 10.2031
Cosine Similarity: 0.6167, Euclidean Distance: 8.3906
Cosine Similarity: 0.5972, Euclidean Distance: 8.4688
Cosine Similarity: 0.5034, Euclidean Distance: 9.1797
Cosine Similarity: 0.8477, Euclidean Distance: 5.7656
Cosine Similarity: 0.5986, Euclidean Distance: 8.8828
Cosine Similarity: 0.6079, Euclidean Distance: 8.3828
Cosine Similarity: 0.6436, Euclidean Distance: 8.1953
Cosine Similarity: 0.5601, Euclidean Distance: 9.2109
Cosine Similarity: 0.5864, Euclidean Distance: 8.7969
Cosine Similarity: 0.7383, Euclidean Distance: 7.1133
Cosine Similarity: 0.5728, Euclidean Distance: 8.6406
Cosine Similarity: 0.7363, Euclidean Distance: 7.1523
Cosine Similarity: 0.7739, Euclidean Distance: 6.8633
Cosine Similarity: 0.5601, Euclidean Distance: 8.8906
Cosine Similarity: 0.8384, Euclidean Distance: 5.7773
Cosine Similarity: 0.6846, Euclidean Distance: 7.8906
Cosine Similarity: 0.8613, Euclidean Distance: 5.6484
Cosine Similarity: 0.7070, Euclidean Distance: 7.4531
Cosine Similarity: 0.5791, Euclidean Distance: 8.7109
Cosine Similarity: 0.6665, Euclidean Distance: 7.8984
Cosine Similarity: 0.5845, Euclidean Distance: 8.5469
Cosine Similarity: 0.7446, Euclidean Distance: 7.0352
Cosine Similarity: 0.6519, Euclidean Distance: 7.9883
Cosine Similarity: 0.5562, Euclidean Distance: 8.9688
Cosine Similarity: 0.7939, Euclidean Distance: 6.4102
Cosine Similarity: 0.5942, Euclidean Distance: 8.4766
Cosine Similarity: 0.6001, Euclidean Distance: 8.4297
Cosine Similarity: 0.5991, Euclidean Distance: 8.4375
Cosine Similarity: 0.5786, Euclidean Distance: 8.9219
Cosine Similarity: 0.5884, Euclidean Distance: 9.1250
Cosine Similarity: 0.5781, Euclidean Distance: 8.6016
Cosine Similarity: 0.7559, Euclidean Distance: 6.9141
Cosine Similarity: 0.7710, Euclidean Distance: 6.7070
Cosine Similarity: 0.6729, Euclidean Distance: 7.9727
Cosine Similarity: 0.6216, Euclidean Distance: 8.3203
Cosine Similarity: 0.6157, Euclidean Distance: 8.3359
Cosine Similarity: 0.5562, Euclidean Distance: 9.8047
Cosine Similarity: 0.7412, Euclidean Distance: 7.0742
Cosine Similarity: 0.8101, Euclidean Distance: 6.2891
Cosine Similarity: 0.5894, Euclidean Distance: 8.7734
Cosine Similarity: 0.6201, Euclidean Distance: 8.3047
Cosine Similarity: 0.5439, Euclidean Distance: 9.0000
Cosine Similarity: 0.5483, Euclidean Distance: 8.8125
Cosine Similarity: 0.6021, Euclidean Distance: 8.5469
Cosine Similarity: 0.6118, Euclidean Distance: 8.3359
Cosine Similarity: 0.8774, Euclidean Distance: 5.0859
Cosine Similarity: 0.6274, Euclidean Distance: 8.3750
Cosine Similarity: 0.5820, Euclidean Distance: 8.7109
Cosine Similarity: 0.8232, Euclidean Distance: 6.2734
Cosine Similarity: 0.6050, Euclidean Distance: 9.1172
Cosine Similarity: 0.8745, Euclidean Distance: 5.1172
Cosine Similarity: 0.6602, Euclidean Distance: 7.9141
Cosine Similarity: 0.5469, Euclidean Distance: 8.8984
Cosine Similarity: 0.5840, Euclidean Distance: 8.6094
Cosine Similarity: 0.4812, Euclidean Distance: 14.0547
Cosine Similarity: 0.6250, Euclidean Distance: 8.2734
Cosine Similarity: 0.6577, Euclidean Distance: 8.0156
Cosine Similarity: 0.6396, Euclidean Distance: 8.1016
Cosine Similarity: 0.5483, Euclidean Distance: 9.3594
Cosine Similarity: 0.5537, Euclidean Distance: 8.8047
Cosine Similarity: 0.5205, Euclidean Distance: 9.0000
Cosine Similarity: 0.4956, Euclidean Distance: 9.7188
Cosine Similarity: 0.5244, Euclidean Distance: 9.0156
Cosine Similarity: 0.6514, Euclidean Distance: 8.0547
Cosine Similarity: 0.5571, Euclidean Distance: 8.7812
Cosine Similarity: 0.6079, Euclidean Distance: 8.4453
Cosine Similarity: 0.6104, Euclidean Distance: 8.3594
Cosine Similarity: 0.5928, Euclidean Distance: 8.6328
Cosine Similarity: 0.5903, Euclidean Distance: 8.6328
Cosine Similarity: 0.8213, Euclidean Distance: 6.2188
Cosine Similarity: 0.5879, Euclidean Distance: 8.5234
Cosine Similarity: 0.5938, Euclidean Distance: 8.8203
Cosine Similarity: 0.6089, Euclidean Distance: 8.3984
Cosine Similarity: 0.7729, Euclidean Distance: 6.6953
Cosine Similarity: 0.7339, Euclidean Distance: 7.1719
Cosine Similarity: 0.8599, Euclidean Distance: 5.9961
Cosine Similarity: 0.8423, Euclidean Distance: 6.0820
Cosine Similarity: 0.7158, Euclidean Distance: 7.4727
Cosine Similarity: 0.8486, Euclidean Distance: 5.9766
Cosine Similarity: 0.8613, Euclidean Distance: 5.4258
Cosine Similarity: 0.8662, Euclidean Distance: 5.2695
Cosine Similarity: 0.8813, Euclidean Distance: 5.0039
Cosine Similarity: 0.8193, Euclidean Distance: 6.0820
Cosine Similarity: 0.7622, Euclidean Distance: 6.9336
Cosine Similarity: 0.7314, Euclidean Distance: 7.3281
Cosine Similarity: 0.6865, Euclidean Distance: 7.7812
Cosine Similarity: 0.8530, Euclidean Distance: 5.5781
Cosine Similarity: 0.9028, Euclidean Distance: 4.5938
Cosine Similarity: 0.8931, Euclidean Distance: 5.2930
Cosine Similarity: 0.6367, Euclidean Distance: 8.1719
Cosine Similarity: 0.6187, Euclidean Distance: 8.3047
Cosine Similarity: 0.5664, Euclidean Distance: 8.7578
Cosine Similarity: 0.5420, Euclidean Distance: 8.8594
Cosine Similarity: 0.5547, Euclidean Distance: 8.7969
Cosine Similarity: 0.5439, Euclidean Distance: 9.0391
Cosine Similarity: 0.5913, Euclidean Distance: 8.5078
Cosine Similarity: 0.5503, Euclidean Distance: 8.7969
Cosine Similarity: 0.7578, Euclidean Distance: 6.9609
Cosine Similarity: 0.7261, Euclidean Distance: 7.3516
Cosine Similarity: 0.6436, Euclidean Distance: 8.1406
Cosine Similarity: 0.6206, Euclidean Distance: 8.2656
Cosine Similarity: 0.6675, Euclidean Distance: 9.8281
Cosine Similarity: 0.6787, Euclidean Distance: 8.4844
Cosine Similarity: 0.6782, Euclidean Distance: 8.4844
Cosine Similarity: 0.6411, Euclidean Distance: 8.1016
Cosine Similarity: 0.5518, Euclidean Distance: 9.1562
Cosine Similarity: 0.5864, Euclidean Distance: 8.5391
Cosine Similarity: 0.6650, Euclidean Distance: 7.9883
Cosine Similarity: 0.6440, Euclidean Distance: 8.3359
Cosine Similarity: 0.5996, Euclidean Distance: 8.5078
Cosine Similarity: 0.5508, Euclidean Distance: 8.7969
Cosine Similarity: 0.5791, Euclidean Distance: 8.6094
Cosine Similarity: 0.4998, Euclidean Distance: 9.2109
Cosine Similarity: 0.8433, Euclidean Distance: 5.7031
Cosine Similarity: 0.5630, Euclidean Distance: 8.7109
Cosine Similarity: 0.6602, Euclidean Distance: 7.9219
Cosine Similarity: 0.4861, Euclidean Distance: 9.2188
Cosine Similarity: 0.7065, Euclidean Distance: 7.5977
Cosine Similarity: 0.6064, Euclidean Distance: 8.3750
Cosine Similarity: 0.5679, Euclidean Distance: 8.7188
Cosine Similarity: 0.8853, Euclidean Distance: 5.0742
Cosine Similarity: 0.7319, Euclidean Distance: 7.3242
Cosine Similarity: 0.8262, Euclidean Distance: 6.4375
Cosine Similarity: 0.5962, Euclidean Distance: 8.4688
Cosine Similarity: 0.7705, Euclidean Distance: 6.9727
Cosine Similarity: 0.6035, Euclidean Distance: 8.3984
Cosine Similarity: 0.5112, Euclidean Distance: 9.1172
Cosine Similarity: 0.5684, Euclidean Distance: 8.7031
Cosine Similarity: 0.5957, Euclidean Distance: 9.1328
Cosine Similarity: 0.6182, Euclidean Distance: 8.2812
Cosine Similarity: 0.7080, Euclidean Distance: 7.4844
Cosine Similarity: 0.6787, Euclidean Distance: 7.7773
Cosine Similarity: 0.6484, Euclidean Distance: 8.0469
Cosine Similarity: 0.5708, Euclidean Distance: 8.6562
Cosine Similarity: 0.5708, Euclidean Distance: 8.6641
Cosine Similarity: 0.8521, Euclidean Distance: 7.6992
Cosine Similarity: 0.6060, Euclidean Distance: 8.3906
Cosine Similarity: 0.5815, Euclidean Distance: 8.7266
Cosine Similarity: 0.6328, Euclidean Distance: 8.2578
Cosine Similarity: 0.6406, Euclidean Distance: 8.1797
Cosine Similarity: 0.6113, Euclidean Distance: 8.3438
Cosine Similarity: 0.8257, Euclidean Distance: 6.1484
Cosine Similarity: 0.6543, Euclidean Distance: 7.9688
Cosine Similarity: 0.6255, Euclidean Distance: 8.2344
Cosine Similarity: 0.5625, Euclidean Distance: 8.7109
Cosine Similarity: 0.6060, Euclidean Distance: 8.5234
Cosine Similarity: 0.5547, Euclidean Distance: 8.7656
Cosine Similarity: 0.5669, Euclidean Distance: 8.6953
Cosine Similarity: 0.5581, Euclidean Distance: 8.7578
Cosine Similarity: 0.6240, Euclidean Distance: 8.2891
Cosine Similarity: 0.5498, Euclidean Distance: 8.9062
